AE2:1
C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C2:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
D2:1
D3:1
D4:1
G***:2
H1:1
H2:1
H3:1
H4:1
IC2:1
IC3:1
IC4:1
IC5:1
J1:1
J2:1
J3:1
J5:1
L1:1
L2:1
L3:1
Q1:1
Q2:1
R1:1
R11:1
R12:1
R13:1
R14:1
R16:1
R17:1
R18:1
R19:1
R2:1
R20:1
R21:1
R22:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
REF**:1
S1:1
S2:1
TP10:1
TP11:1
TP3:1
TP4:1
TP5:1
TP8:1
U1:1
Y2:1
